season,round,race_name,driver_code,fp_session,fp_gap_to_best_seconds
2024,9,Canadian Grand Prix,SAI,FP1,3.05
2024,9,Canadian Grand Prix,SAI,FP2,1.022
2024,9,Canadian Grand Prix,SAI,FP3,1.052
2024,9,Canadian Grand Prix,SAR,FP2,1.2245
2024,9,Canadian Grand Prix,SAR,FP3,2.4015
2024,9,Canadian Grand Prix,STR,FP2,0.3665
2024,9,Canadian Grand Prix,STR,FP3,2.324
2024,9,Canadian Grand Prix,TSU,FP1,4.6
2024,9,Canadian Grand Prix,TSU,FP2,0.1665
2024,9,Canadian Grand Prix,TSU,FP3,1.8439999999999999
2024,9,Canadian Grand Prix,VER,FP1,2.067
2024,9,Canadian Grand Prix,VER,FP2,1.4675
2024,9,Canadian Grand Prix,VER,FP3,0.0
2024,9,Canadian Grand Prix,ZHO,FP2,1.2435
2024,10,Spanish Grand Prix,ALB,FP1,1.626
2024,10,Spanish Grand Prix,ALB,FP2,2.466
2024,10,Spanish Grand Prix,ALB,FP3,0.836
2024,10,Spanish Grand Prix,ALO,FP1,1.26
2024,10,Spanish Grand Prix,ALO,FP2,2.163
2024,10,Spanish Grand Prix,ALO,FP3,1.127
2024,10,Spanish Grand Prix,BEA,FP1,2.713
2024,10,Spanish Grand Prix,BOT,FP1,1.6195
2024,10,Spanish Grand Prix,BOT,FP2,1.2055
2024,10,Spanish Grand Prix,BOT,FP3,3.2695
2024,10,Spanish Grand Prix,GAS,FP1,1.6855
2024,10,Spanish Grand Prix,GAS,FP2,1.422
2024,10,Spanish Grand Prix,GAS,FP3,1.268
2024,10,Spanish Grand Prix,HAM,FP1,0.779
2024,10,Spanish Grand Prix,HAM,FP2,0.1885
2024,10,Spanish Grand Prix,HAM,FP3,0.4865
2024,10,Spanish Grand Prix,HUL,FP2,2.056
2024,10,Spanish Grand Prix,HUL,FP3,1.8465
2024,10,Spanish Grand Prix,LEC,FP1,1.062
2024,10,Spanish Grand Prix,LEC,FP2,0.0
2024,10,Spanish Grand Prix,LEC,FP3,2.085
2024,10,Spanish Grand Prix,MAG,FP1,2.849
2024,10,Spanish Grand Prix,MAG,FP2,1.567
2024,10,Spanish Grand Prix,MAG,FP3,1.1179999999999999
2024,10,Spanish Grand Prix,NOR,FP1,2.977
2024,10,Spanish Grand Prix,NOR,FP2,0.391
2024,10,Spanish Grand Prix,NOR,FP3,0.0
2024,10,Spanish Grand Prix,OCO,FP1,1.522
2024,10,Spanish Grand Prix,OCO,FP2,1.3
2024,10,Spanish Grand Prix,OCO,FP3,2.972
2024,10,Spanish Grand Prix,PER,FP1,1.089
2024,10,Spanish Grand Prix,PER,FP2,1.654
2024,10,Spanish Grand Prix,PER,FP3,1.502
2024,10,Spanish Grand Prix,PIA,FP1,1.0965
2024,10,Spanish Grand Prix,PIA,FP2,1.312
2024,10,Spanish Grand Prix,PIA,FP3,0.98
